t,x,tf,ts
0.6240625,0.895,1.0005441,1.0004289
0.7835125,0.778,1.0054,1.0030283
0.3981062499999999,0.469,1.0012813,1.0005028
0.41590625,0.948,0.99986196,1.00001
0.94975,0.457,2.257565,1.8838971
0.4155843749999999,0.479,1.0019076,1.0007485
0.7788031249999999,0.993,1.0018353,1.0012802
0.2395624999999999,0.723,1.0001576,1.0001242
0.3471218749999999,0.067,2.6235352,1.3397473
0.2760031249999999,0.428,0.99993634,1.0000467
0.7563843749999999,0.833,1.0032542,1.0018884
0.8521374999999999,0.145,3.452728,2.9227152
0.0104406249999999,0.428,1.0001538,0.9999876
0.761928125,0.558,1.1912365,1.1007012
0.7831062499999999,0.866,1.0031245,1.001898
0.727296875,0.916,1.0015309,1.0010382
0.331940625,0.864,0.9999566,1.0000575
0.094746875,0.245,1.0001702,1.0000548
0.7635375,0.671,1.008069,1.0039736
0.3092281249999999,0.423,1.0000083,1.0000246
0.5528124999999999,0.908,1.0001101,1.0001317
0.3321874999999999,0.062,2.5416217,1.2750797
0.33334375,0.416,1.0002017,1.000067
0.1943375,0.477,1.0001864,1.0001438
0.6257093749999999,0.292,2.0121932,1.53468
0.565090625,0.054,3.6137338,2.443486
0.4716499999999999,0.67,1.0003679,1.0001905
0.1000499999999999,0.987,1.0001426,1.0000856
0.1908593749999999,0.363,1.0001099,1.0001265
0.622821875,0.675,1.004103,1.0019858
0.74158125,0.764,1.0047843,1.0025823
0.6104031249999999,0.299,1.8740866,1.4414638
0.8722343749999999,0.355,2.5283098,2.0878465
0.177859375,0.646,1.0002387,1.0001452
0.9010625,0.996,1.003586,1.0026321
0.8485906249999999,0.264,2.916326,2.4268374
0.7830124999999999,0.141,3.386027,2.7816353
0.139665625,0.86,1.0001938,1.0001128
0.7322812499999999,0.03,3.8575509,2.9740002
0.2140812499999999,0.047,0.9998727,1.0002388
0.794215625,0.774,1.0057387,1.0032425
0.8735875,0.274,2.9213128,2.4492462
0.781215625,0.942,1.0020714,1.0014029
0.4610937499999999,0.032,3.6842406,2.073237
0.648490625,0.061,3.6480474,2.6973107
0.4601781249999999,0.748,1.0000434,1.0000321
0.2153437499999999,0.882,1.0001683,1.0001175
0.117725,0.059,1.0000749,1.0001359
